tweet,class
قلت للرءيس شباب الثوره لفقت ضدهم التهم اجهزه الامن وانت تسال اجهزه الامن عن الابرياء فيهم تتوقع ان تعترف اجهزه الامن بالتلفيق وتعتذر  ,0
شباب حزب الوسط حاجه تفرح بجد الله يخرب بيتك يامبارك لو شباب البلد دي كان اشتغل سياسه براحته زمان ماكانش ده حالنا  ,2
امراه تصنع الحب والايثار والاهتمام والعطف والحنان مءهله ان تصبح ام مثاليه حتي لو مارلين مونرو   فيفي_عبده_الام_المثاليه  ,1
لازلت معترضا علي تشكيل الجمعيه التاسيسيه لانه يجعل دستور مصر في يد اغلبيه تنتمي الاسلام السياسي الدستور يجب ان يمثل المصريين جميعا  ,0
بارز الله بالمعاصي خاب وخسر دنيا واخره  وكفاه الهاشتاج وفضاءح معاونيه  انتخبوا_العرص  ,0
ستظل ذكري استشهاد البطل عبد المنعم رياض تخليدا لملحمه مضيءه انصع صفحات التاريخ المصري ورمزا لبطولات معركه الاستنزاف تحيه له في ذكراه  ,1
كورسيرا اكبر موقع عالمي يحتوي علي مناهج جامعات عالميه الافضل في تصنيف 2013  نتعاون معهم لتعريب المناهج  شاركونا   ,1
النضارات بقت موضه تقويم سنان بقي موضه برضو   مش بعيد بكره تلااقي صحبتك جايالك بكرسي متحرك تفوليلها سلامتك اتشليتي  مرار_طافح     ,0
محاكمه المتورطين وذلك بشرط ان الحكومه واجهزتها لديها المصداقيه وليست صاحبه سوابق في التزوير والتدليس والصاق   ,0
 الاقصر مدينه خضراء  ,1
 مظهر_شاهين  ماشوفناش وش واحد مشايخ  السلفيين في  ثوره_يناير لانهم مايقدروش يقفوا علي المنصه  ,0
لم انتخب مرسي ودعوت مقاطعه الانتخابات في مقال منشور في المصري لكني اتفهم تماما موقف الثوريين اضطروا لانتخابه حمايه للثوره  ,2
السياسه  الشرعيه يعمل بها  السلفيون في بلاد  الحرمين مزوره ومكذوبه علي  الاسلام صفق كبار  العلماء واتحدي في    ,0
طبعا استفتاء كان اكثر شرفا استفتاء الاخوان علي الاقل اشرف عليه قضاء حقيقي وكانت الانتهاكات فيه لا تقارن باستفتاء الاخوان  ,2
اللي يشوفك يتمني يكون مثلك واللي يعرفك يحترمك ويحبك واللي يسمع عنك يتمني يقابلك  حاول   ,1
للشموخ عنوان  السادات  ,1
الانفلات الامني الموجود ليس نتيجه لضعف الامن وحده  ضعف مءسسات الدوله وتراخيها ادي تمرد علي سلطتهاالدوله في خطر ولابد اعاده السياسه  ,0
لا اعترف بدستور مسلوق علي عجل خوفا حكم المحكمه ببطلان اللجنه كتبته0لا اعترف برءيس يعطل القانون رءيسكم ديكتاتور ودستوركم باطل  ,0
 محمود_سعد قعد يدافع عن الشباب اياهم ولما جه يقول للمراسل هات واحد نكلمه اتشتم والمراسل اتفضل حاورهم قبل ما تقنع الناس تقبلهم  مصر  ,0
انا بلا فخر ضد  الفلول ضد المتطرفين  السلفيين ضد  الاخوان ضد تمييز فءه الشعب علي بقيه الشعب انا مع  الثوره  ,2
كلام وكلام حمله لا اضحيه العام تءكد حب الاخوان للخرفان  الساده_المحترمون  ,0
راي منقول صادم جدا ليس كله بطبيعه الحال صحيحا ولكنه صارم في الحق في نقاط كثيره واقدمه لكم كما دون تدخل نقلا  ,2
مذبحه ميدان رابعه العدويه جريمه نكراء وسيحاسب الشعب المصري مرتكبيها  رابعه_العدويه  ,0
اعفيك متابعتي لانك اما لا تحفظ لسانك او لا تحفظ لي حقي في الاختلاف لكني سادافع عنك دوما ظلمت شكرا  ,2
المحفوظه في خزاءن في الخارج جانب قياده النظام الباءد وسندان الملفات المحفوظه في واشنطن طيب واضح الثوره لم تكن ضد  ,2
القضاء بقي حلو دلوقتي عشان قفل قناه مش عاجبانا مش ده القضاء الفاسد المسيس بتاع مبارك اللي حل المجلس  بقي فله دلوقتي   ,0
الدكتور عبد المنعم   ان لحم كتافنا خير ابنا مصر البسطاء في الاحياء الفقيره علي ضفوف الترع   ,1
__4 ده شفيق اللي متقدم فيه بلاغات الدنيا اخذ نصف الاصوات يعني نصف الناس قبلت العمي ولا قبلتوش اغلبيه   ,0
الدماء اريقت في مجزره ارتكبتها الدوله بماسبيرو لايمكن ان تضيع دون حساب واجب الرءيس ان ينفذ وعده بمحاكمه كل تورط في قتل ابناءنا  ,0
الرءيس مرسي شرعي ومنتخب الشعب قادر علي اختيار ما يفيده هدف الثوره ان نتخلص حكم العسكر الاجابه بالنفي فلماذا قمنا بثوره  ,2
ورضيت اعيشلك انت حبيبي كفايه ان انت حبيبي  عمرو_دياب  ,1
اولا غلب علي اداء المجلس 23 2012 اسلوب اطفاء الحراءق ومازال العمل التشريعي والرقابي الهادف لبناء نظام  ,2
تفعل المعده فاجاها الكبد بضربه قاتله  مصر ضرباتنا القاتله تاتينا كانوا اهلنا وجيراننا وابناءنا  ,0
 عايش معاك ايام مفيش في جمالها زي  الملاك دي اقل كلمه بقولها  بحبك  عمرو  دياب  ,1
الدين ليس حرفه  ,2
احمد الشحات البطل الشعبي احرق علم الصهاينه بعد ان دنس هواء مصر 30 عاما  ارفع علمك فوق انت مصري احمد المصري احمد العربي  ,2
مصر ثالث اعلي الدول ديونا في العالم ربنا ينتقم العصابه واحد واحد ويورينا فيهم   ,0
لا مواجهه ناجحه للتطرف ولا انقاذ للتعايش الا بتفعيل سياده القانون وحمايه حقوق الاقليه قبل الاغلبيه والمحاسبه الناجزه للمتورطين في العنف  ,2
اه الناس حواليك بتحب مرسي وماله  بس مرسي ماهواش اغلي عند الناس دي رزق عيالها مستقبلها ولو حست فاشل مش عارف يحل هتقلب عليه وعليك  ,2
سلام روح ام  الناءب_العام     ,0
اهمك امر غيرك  فاعلم بانك طبع اصيل  ,1
اخشي ان الضرر الدمار الناتج طريقه اسلوب اداره البلاد الثوره حتي لن يمكن اصلاحه  ,0
لو الانتخابات لم تزور لكان شفيق خسر حتما واتوقع منك الا تشارك في المسرحيه لديها المخالفات ما يبطل عشر انتخابات  ,0
الاعلام الحكومي المنافق يقول ان اعتدوا علي المتظاهرين اهالي عاديون اصبحت زجاجات المولوتوف مستلزمات المطبخ في العباسيه  ,0
اتهموا الثوره بانها مكنت الاخوان مصر هءلاء ننتظر منهم اعتذارا الثوره حررت اراده الشعب فاختبر الاخوان وتخلص منهم الابد  ,2
يوسف الحسيني يفضح كذب قناه الجزيره ويكشف تمثيل الاخوان دور الموتي اشراف الجزيره     ,0
ان كان طبعك تصد شوي وتعود فانا تراني مانيب اداني الصده شفتني فيك بالثنتين متجود فاتلي شروط الضمان نهايه المده  سري  ,2
حزب النور سيشارك في لجنه الدستور حزب النور يعمل دوشه في كل موضوع وفي الاخر يطلع عيل  ,0
النصب التذكاري الحقير يتم انشاءه في ميدان رابعه سيكون شيء يتم اسقاطه بعد اسقاط الانقلاب  ,0
 عشان_خاطر_ماسر متحوطيش اخوكي الصغير في الطرحه  ,0
انا ابكي    وادري ان دموع العين خذلان وملح     محمود درويش  ,0
مجتمع هيفضل طول عمره  حافظ_مش_فاهم حاااجه  ,0
الرجوع للحق فضيله حمد الله علي سلامه احمد السيد النجار  ,1
 الفيفا يشيد بملعب  الجوهره ويصفه بثاني افضل ملعب بالعالم وارامكو اذهلت  بلاتر  افتتاح_ملعب_الملك_عبدالله  ,1
تجديد حبس  ياسر_علي متحدث رءاسه  المعزول 15 يوما في قضيه التستر علي  هشام_قنديل  ياااااه وحشتونا ووحشتنا نوادركم  ,2
قمه المسخره  الببلاوي بيقول انا ليا ملاحظات علي قانون التظاهر    ياعم انا اللي مطلعه     ,0
لدستور يعاملني انا واولادي كمواطنين الدرجه الثانيه بالتاكيد ساصوت عليه  لا  والف لا  ,0
العسكر خاين كالعاده دخلوا الجامع بالبياده  مجزره_العباسيه  عسكر_كاذبون  لن_ننسي  لن_نسامح  ,0
بعد تبرءه ساءق حمدين صباحي المتلبس بحمل السلاح وسرقه الاثار كتبت لكم سيسير مطيعا الانقلاب  امس يءيد سيسي لو ترشح للرءاسه  ,0
شباب تمرد وحركه 30 في لجنه الدستور وشباب 25 دعموا 30 غاضبون اشربوا اغبياء  ,0
حكيك يخلق العدم فرحه      ,1
اسماء شهداء الثوره  المجد_للشهداء  ريتويت كتير جدا بقي  ,1
اعتذار سي سي عن حلقه الشيطان الاراجوز جزء التمثيليه لاظهار شملت مساسا بسيسي او الانقلاب لا تصدقوا  ,0
بصرف النظر عن شغلها ولا حاجه تانيه بحب في  فيفي_عبده ان اللي في قلبها علي لسانها ملهاش في النفاق زي معظم الوسط الفني  ,1
اغير القناه اللي  فيفي_عبده_الام_المثاليه ناشيونال جيوجرافيك اجد برنامج عن شاب امريكي يصنع صاروخ في بيته ويطلقه في  ,2
يريد السفر سيعرف الفارق بين حكم مرسي وزمن العسكر  مفيش دولارات في البنوك ومتقدرش تسحب حسابك المصري الا اقل القليل  ,2
 اوعي_تنسي عاشوا رجاله وماتوا اسود     ,1
ضابط جيش يضرب زياد العليمي اصغر عضو منتخب في مجلس الشعب يقول له خلي مجلس الشعب ينفعك بدايه طيبه لعرس الديمقراطيه  ,0
 فيفي_عبده طلعت بقناه ام سي وتتكلم عن الشرف والاحترام وانها الام المثاليه      وقاحه  ,0
حتي في اصعب لحظات عمره لم يفشي مرسي اسرار خيانه سيسي ولم يقل شيءا شاءنا ضد الخونه والقتلي  ,2
 عيد_الام ام صينيه  97  سنه تعتني بابنها  60  سنه المصاب بشلل رباعي 19 سنه قلب الام مهما تقادمت بها السنون  ,1
السفاره المصريه العظيمه في السعوديه بتوزع منشورات علي المصريين يصوتوا بنعم في الاستفتاء علي الدستو  ,2
الطبيعي ان تجد منافقا الممكن ان تجد رجل دين منافقا لكن ما يفعله علي جمعه تخطي كل الحدود  ,0
راجعت الردود فوجدت المتزمتين دينيا هم الاكثر استعدادا للتطاول بالبذاءات انهم يخافون النقاش حتي لا تهتز محفوظاتهم لم يفكروا  ,0
ايها الغيورون علي القانون سمعتم عن تهريب المتهمين الامريكان و14 مدني في السجن الحربي واعلان دستوري باطل يمنح الحكم للعسكراين كنتم  ,0
 اصعب احساس  لما يوحشك حد   مات   سو   ,0
بعض الناس سيرفضون تصرف الرءيس مرسي حتي لو كان صاءبا خصومتنا السياسيه تحولت لعداوه تعمينا ساساند الحق كما اراه حتي ولو كنت وحدي  ,2
الشيخ حسان يءكد ان مرسي يمتلك شرعيه قرانيه وشرعيه نبويه متي التجاره بالدين بالمناسبه اين اموال التبرعات جمعها الشيخ حسان  ,0
نفاق الجموع افات مجتمعاتنا فالكثير يعبرون عن مواقفهم في جلساتهم الخاصه ومكالمات الهاتف بينما ينافقون الجماهير في العلن خوفا علي شعبيتهم   ,0
الفرد الركيزه الاساسيه تقوم عليها عمليه التغيير والاصلاح ان بدت صعبه الا ليست مستحيله بل  ,2
 الواتساب_معلق  ,0
قرار رءيس الجمهوريه بعوده البرلمان للانعقاد صحيح التنفيذ الصحيح لحكم المحكمه الدستوريه يكون في الانتخابات القادمه  ,1
 ماهر فخامه الاسم تكفي  ,1
بالفيديو عكاشه  والله  هيفاء_وهبي مش طريه واللي يتجوزها يبقي خد خازوق     بوابه_القاهره  مصر  توفيق_عكاشه  ,0
حق شهداءنا يضيع بشكل منظم نظامنا القضاءي عاجز عن القصاص والجهات التشريعيه والتنفيذيه لم تدعمه  ومحاسبه كل قصر في جمع الادله ضروره  ,0
غالياني وين صفقاتك حق كنت تجيب لاعبين مدريد وبرشلونه تكفي ارجع مثل ضبطنا  ميلان  ,2
رب انضجت غيظا قلبه     قد تمني لي موتا لم يطع مهداه لمن يقف في اعلي شجره جوز الهند محاولا اخراس ذكاءي لاتوقف عم   ,2
اللي عايز يتحاور يروح يتحاور مع اهالي الشهداء والمصابين  لو دول رضوا عنكم ربنا هيرضوا عنكم والا فلا امل ابدا جميعا  ,2
اتحدي شيخ المتاجرين يطلع يقول الكلام اللي بيتقال قدام السفاره علي الهواليه لانهم يعشقوا التحريض بس وتسخين الشباب لان ده بيزود السبوبه  ,0
انت استلذ باحلامي واستطعم الحب بحضورك مقتبس __  تصميمي  ميسي  97  ,1
الانقسام بين القوي الوطنيه طبيعي ولكنه حدث قبل انجاز اهداف الثوره فاستفاد منه النظام القديم يجب ان نضع الثوره قبل المصلحه السياسيه  ,2
الاسءله هربنا ايام المجلس العسكري لا زالت تطاردنا وستظل ان نواجهها ونجيب عليها  ,2
سلام اناابنه استاذايمن شويقي اوصاني ابي بان اوصلكم رسالته بخير وصحته جيده ومعنوياته مرتفعه ويشكر كل سال ويبشرك   ,2
تكوين لجنه الخمسين جامل بشكل كبير القوي السياسيه علي حساب الشباب والاقباط  الساده_المحترمون  ,0
_6666 انا ادعوا داءما بالرحمه للجميع لا يعجبني اداء وزير الداخليه خاصه موجود ايام الاخوان المجرمين لا توجد لديه رءيه  ,2
منع حازم عبد العظيم والسيد البدوي اكبر انصار الانقلاب العسكري السفر يمثل تطبيقا لمبدا صاحب الحمير اضرب المربوط يخاف الساءر  ,0
اظن ان افسد شيءا فعليه اصلاحه يجب اعلان الجماعه الاسلاميه والاخوان منظمات ارهابيه واصلاح ما افسدو   ,0
تاكدوا ان التزام الرءيس بالقانون والحفاظ علي استقلال القضاء وتدعيمه في مصلحه الشعب قبل طرف اخر  ,1
ده مش مءتمر شعبي ده جوله ميدانيه  ,2
_70007 الحماره امك  فطيم_النعاشه وانت ولدها فكرت تصير ولد حلال اطلب  فيفي_عبده_الام_المثاليه تتبناك هههههههه       ,0
وحيات عينيك      اخذ صوت اخذ وجه حسن وطرب اصييل  مصر  الجيزه  القاهره  شاديه  الاهرامات  اسيوط   ,1
بجد كده اوفر اوفر انت قررت تنتخب السيسي   مع ان حمدين صحبك وكنت معاه   وكان افكار السيسي غير افكار حمدين    محمود سعد  متا   ,0
التوجيهي اصعب فتره تحدي والناس يقولوا ما بتقدري تقدمي والتوجيهي صعب وبدو جهد بس كنت اقول الله بلش معي المشوار اكيد ما   ,2
تطاولك علي شيخ الازهر تجاوز كل الحدود  الساده_المحترمون  ,0
كان  محمد_يسري_سلامه صاحب رساله كافح اجلها طيله حياته ولذلك فحتي موته كان بمثابه رساله  ,1
المذيع المحترم بتاع مصر 25 بيقول فيه مظاهرات في شبرا بتهتف  بالطول بالعرض حنجيب الاسلام الارض  يتساءل ما دخل الدين في صراع سياسي  ,0
عامل كهرباءي يستغل وقت فراغه في عشر ذي الحجه في قراءه القران كتب الله اجره وغفر ذنبه  عشر_ذي_الحجه  ,1
والد  جيكا اللي كان داخل مع  حمدرين تسليم التوكيلات  واحد_مننا  ,1
الدكتور ابو الفتوح   محتاجين مصانع محتاجين مزارع محتاجين شقق للشباب يتزوجوا  نحتاج لمساجد او كناءس فهي اكثر الحاجه   ,2
شيء يحدث سيقول العربي  لماذا التوقيت تحديدا  لما لا تضعوا بالتقويم الاوقات المناسبه بنظركم متي نقاوم ومتي نتكلم  غز   ,0
الثوره قامت اساسا اجل انهاء الحكم العسكري جثم علي صدر مصر عاما واوصلنا الحضيض لم يسترد الشعب السلطه بالكامل فقد فشلنا  ,0
لن نستسلم لتهديدات الانقلاب العسكري ومرسي سيظل امنا بفضل دعم امريكا اخبار الموجز  ,2
 بصراحه في العمر حكايه واحده فقط نجد وطن حقيقي ومادونها مسرحيات متعدده نءدي دورنا ببراعه  ,2
فساد في بعض المستشفيات الغير خاضعه للرقابه  ,0
تحياتي بلد  ,1
في الارض المجد كل المجد لمن يقاوم بامعاءهه الخاويه  سامر_العيساوي  ,1
الثوره والانتخابات قدمتا عربه مجهزه لننطلق بها كلما اردنا الانطلاق يدوسون علي فرامل التمسك باللواءح الشكليه فيعلو الصوت ولا حركه حقيقيه  ,2
الدين الداخلي في مصر يمثل كارثه وليس الدين الخارجي  الساده_المحترمون  ,0
كان صلي الله عليه وسلم يحب الطيب والراءحه الحسنه وكان لا يسلك طريقا فيتبعه احد الا عرف قد سلكه طيب عرفه  نشر_سيرته  ,1
خطاب الرءيس يعني مجال يسمح لدبلوماسيتنا ودبلوماسيينا بلعب سياسه واستخدام اوراق الضغط المختلفه  ,2
مستقبلنا مرهون بان نخرج انفسنا الظلمات النور حزب الدستور  قيم انسانيه عداله اجتماعيه عقل علم معا سنغير  ,2
بصراحه انا احب  شبكه_المجد بس حظي الردي رافض ان اشترك     ,2
 يوسف_الحسيني كل ما ندعمه عدم سقوط ارض الياسمين ذات التاريخ العظيم  ,1
المصريين احرار        ,1
يجب ان ينفذ الرءيس وعده باجراء تغييرات في تشكيل اللجنه التاسيسيه للدستور لتكون معبره بحق عن كل اطياف المجتمع  ,2
لانني في الوسط فساقف في مواجهه سعي لاقصاء تيار شريطه الا يكون التيار نفسه  ,2
 كريستيانو_رونالدو صاروخ ماديرا او قاذفه اللهب او الدون او التورنادو او السيداو الامراطور المهم افضل لاعب عالمي  ,1
عدم وجود مصدر محايد للمعلومه بقي شيء مقرف جدا بصراحه  ,0
بعض  البنات يكتبون انا مزاجيہ ومغروره وعنيده وما احب   نفسي     انزين ليش ما تختصريها بجملہ انا مريضہ نفسيا ادعولي      ,2
غادر سوريا بطريقه غير شرعيه لا يحق له انتخاب رءيسها  الاسد  ,2
في مصر الانقلاب تعلو اصوات العهر والدعاره وتخفض اصوات الحق والعدل والشرفاء تحكمهم بياده تلاحقهم رصاصه تاويهم سجون  ,0
انا بعد ما عشت المعاناه السنادي لا يمكن اخلي ولادي يكرروها مالها صناعه  ثانويه_عامه  ,0
احترامنا للجميع لكن لديه مشكله مع صوت عاقل متزن كصوت __ لديه مشكله حقيقيه  ,2
رءيس حزب النور الوهابي ظهر علي الجزيره وظل يلعن في وثيقه السلمي عندما له المذيع ان المجلس العسكري المسءول الاول عن الوثيقه رفض التعليق  ,0
 الحريه_للاخوان  انصاف_الاخوان  ,1
عيوب وساءل التواصل الاجتماعي اصبحت اداه لرد الفعل وليس الفعل  ننشغل بردود الافعال اليوميه اكثر ما ننشغل بالتخطيط والتفكير للمستقبل  ,0
حركه تمرد طالبت بانتخابات رءاسيه مبكره ولا استغلال فرصه الحشد الثوري ضد الاخوان لايصال مرشح ثوري مثل البرادعي الرءاسه  ,2
ههههههه الله يرحمك  عمنا        ل_عامر  ,1
سعيد جدا بزياره الجزاءر بلد جميله فعلا   ,1
المصري احسن واحد تزنقه في الوقت يشتغل   اه_والله  ,1
الغياب اللي خذاك يموت ويحيا بداخلك وصل غاليك  يوسف  بوح  ,2
اعلام العار يكذب كالعاده لتشويه صوره الرءيس مرسي مسءولو السجن يءكدون لم يطلب ميزه او استثناء دع الكلاب تنبح  ,0
 محمود_عباس    الهولوكوست  ابشع جريمه في التاريخ الحديث  ,0
سنفعل كل ما نستطيع لاسقاط الدستور الباطل  ,0
انسانه راءعه     ,1
الرمز الانتخابي لل  السيسي  السيسي_رءيسي_2014  ,1
مشايخ البياده عكس اسماءهم احمد الطيب اقسي قلب مسلم علي جمعه الغي صلاه الجمعه احمد كريمه ابخل في الحق  ,0
ننعي الانسانيه رمزا متالقا للنضال في سبيل الحريه والنهضه والكرامه الانسانيه القاءدوالمجاهدوالمفكر العربي احمد بيللا زعيم ثوره الجزاءر  ,1
_4 _2012 انتم اسياد النصاري باخلاقكم كنتم خير امه اخرجت للناس  ,1
مرسي مش سبب الكارثه ال احنا مبارك ودولته السبب في كل ده اهدروا تعليمنا امننا وحقوقنا لاجيال طبيعي نوصل لكده  ,2
تبدا رحله الشعب المصري مع الحاكم بالثناء علي البطن انجبته  وتنتهي بلعن اسفل البطن انجبته  ,0
 احداث_من_الذاكره مبارك يستنجد بالبلاطجه  عنوان صحيفه الجمهوريه الصادره مدينه تعز  ويبدو العنوان خطا   بكفي_حصار  اضبطوا_شركاء_المخلوع  ,0
 ماذا_اعطاك_الوهاب_ الحمد لله الوهاب ليست الهبات في يد البشر  ,1
قصه ان ده رءيس منتخب ولازم يكمل باطله والدليل الارجنتين ونيكسون اللي استقال لما كذبماهياش عافيه لو فشل وعاند وصمم يخلف وعوده هيعطل البلد  ,0
احببت فيك الضني الناطق المعبر الانسانيه كلها في قلب رجل  مصطفي_محمود  ضي  ,1
البطل لا يهزم عندما يخسر  بل يهزم عندما يياس ويغادر لا تترك حلمك  ,2
دول اوروبا اوقفت رحلات شركاتها مصر شركات التامين ترفض عمل وثيقه للمسافر بكره تشوفو مصر  ,0
عبدالمنعم سعيد  اسراءيل تطالب العالم بالاعتراف بفاشيتها وعنصريتها قانون قسم الولاء ليهوديه اسراءيل فاشيه  ,0
لو عايز تعمل فرق في مواجهه حوادث التحرش والانتهاكات الجسديه في التحرير ساعد الناس المحترمه دي ولا تسمح للضباع بالمزايدات  ,2
اليس الحب ان انظر وجهك الجميل فاشعر انني امتلكت كل الدنياو انت كل دنياي  كلام_في_الحب  مصر  الامارات  فلسطين  البحرين  السعوديه  ,1
 اعترافات_ليبروفاشي_خليجي   الفاشيه  تظهر واضحه وضوح الشمس في التنظيم الهرمي  الاخواني اسسه  حسن_البنا  الاسر  المناطق   ,0
شبرا العظيمه دوماكل واحنا  ,1
 _  اكتوبر  الاخوان_جماعه_ارهابيه خراءر الاخوان  ,0
انا هقوله شرعيتك حمرااااااا  ,0
 اللي_رافضين_السيسي_رءيس_بيعملوا_فولوا_لبعض  انتخبوا_العرص  مرسي_رءيسي  سيناء_خارج_التغطيه  سانتخب_السيسي  ,2
للتوضيح  تماما كما سجلت رفضي في اجتماع سد النهضه لغياب الشفافيه في مساله سيناء وفي كلمه علنيه فخرج البعض مدعيا شكري علي الشفافيه في سيناء  ,2
جامعه المستقبل شريكه في سي سي الانقلاب اعادت امتحانا لطالب ساقط بتوصيه الانقلاب ونجحوه  ,0
مستفز لي مع اني رحت الحرم تلات مرات الحمد لله ليس فقط لمن لم يذهب استاذي العزيز  ,2
 الشعب_يرد_تحيه_الرءيس  بكار_الديوث  انتخبوا_العرص  مصر_الليله  نكاح_الكاراتيه  انصاف_الاخوان  _  ,2
 حاجات_بتفرح_في_مصر لمه رمضان  ,1
اصرار الشعب التونسي علي الوصول الكيلومتر الاخير ثوره اخري في حد ذاته واهم درس بين دروس كثيره 19 11  ,1
لما توق تشرب قهوه كليا ويقعد النوم فالقها ما يبيش يزورك تقعد حالتك كويسه  كن_متفاءلا  ,2
88 اعترض علي الطريقه والمضمون والتوقيت لا يجوز اصدار مبادء دستوريه ملزمه بدون استفتاء الشعب اصلا  ,0
مصر تسجن ابو اسماعيل وتعلي شان الهام شاهين  طارءه   ,0
في ناس انصار ابو اسماعيل زعلانين ونازلين شتيمه واضح انهم محبطين عشان مش هيبقي في اعتصام ودبح عجول وكدهمعلهش اطلعوا مدينه الانتاج تاني  ,0
دراسه عن التاريخ السري لجماعه الاخوان المسلمين عنوان الاغتيال منهج حياه دراسه الكاتب  يوسف_الحسيني اكتر راءع   ,0
فاكر  مظهر_شاهين امنجي ابني لما كنت عايزني احط اسمك في مجلس رءاسي مدني في احداث  محمد_محمود مر   ,0
كلمه هيبه محتاجه تتشال القاموس عشان ماحدش يتمسح في الرايحه والجايه ده طبعا غير علي نفس وزن خيبه  ,0
 قطر الدوله الوحيده في العالم سفير في  غزه واميرها الحاكم الوحيد جرم  اسراءيل وحملها مسءوليه العدوان بينما مسوخكم جرموا  حماس  ,2
مرسي بيعمل جلسات الحوار الوطني عشان يفرح لما يلاقي حد يقول له السيد الرءيس فينسي اللي حصل وبيحصل له في المحافظات وقدام الاتحاديه  ,0
خالص العزاء في الشهيد جندي القوات المسلحه وفي الشهداء المعتصمين سلميا سلامه ارواح وضمان حريات المصريين مسءوليه يديرون البلاد  ,2
لولا الانقلاب لظل الجيش والشعب ايد واحده  ,0
عبد المنعم ابو الفتوح علي قناه الحره  انا ضد مظاهرات ماسبيرو ضد المظاهرات الكناءس  ,0
كل العار عشناه سنين طويله يتلخص في الفيديو  ,0
خارطه الطريق تستلزم مشاركه وطنيه بعيده عن العنف  الساده_المحترمون  ,2
تفاءلي نابع ايماني بان  الله لا يضيع اجر احسن عملا ولا يوجد احسن واعظم عملا ان يضحي الشعب بدماءه اجل الحفاظ علي وطنه وعرضه  ,1
اصرار الشعب التونسي علي الوصول الكيلومتر الاخير ثوره اخري في حد ذاته واهم درس بين دروس كثيره  ,1
"الله بتوع شبكه المخلص دول دمهم خفيف الوجه البذء يضع قناع الدين NEG
الحركه السياسيه في مصر تاليف طارق البشري يكشف تواطوء قيادات الاخوان مع اسماعيل صدقي والملك فاروق ضد الحركه الوطنيه اقرءوا قبل ان تشتمونا NEG
طلعني انا كمان المنشنكل اللي بتفكر فيه جنس ومخدرات الذعر الجنسي ده اللي ماثر عليكم NEG
7_ انا عاوزه احرق  اماني_الخياط بالغاز   NEG
بعد وصله الاعلام الرسمي التحريضي خرجت علينا جماعه الاخوان بمءتمر صحفي اكثر انحطاطاهما بيتنافسوا مع بعض  NEG
ولو بتقولوا ان امن البلد هيتححق بعيد عن الحقوق الاقتصاديه والاجتماعيه تبقوا واهمين     يوسف_الحسيني NEG
يا عسكري واقف بالفرس جتتي لا انت البطل ولا انت فتوه حتتي ما تقول هاخد البلد هتاخدها بس جثتي  صلاح_جاهين NEG
استدعاء نواره نجم ومظهر شاهين وممدوح حمزه للتحقيق معناه ان مناصره الثوره اصبحت جريمه عند المجلس العسكري NEG
لو التعريص بقي رياضه وانضم للاولومبياد علاء صادق هياخد الذهبيه   NEG
ايها الاخوان عذب الشهيد الجندي حتي الموت منح طنطاوي وعنان قلاده النيل قتل 134 مصريا واعتقل وعذب الالاف اعترفوا بجراءمكم NEG
1 اجدد التاكيد علي ان ترشح المهندس الشاطر خطر علي مصر وعلي فرص الديمقراطيه  ولا يقل خطوره ترشح عمر سليمان NEG
ليس عندي ادني شك ان انصار تيارات الشعارات الاسلاميه سيلجاون قريبا جدا لتصفيه المختلفين معهم في الراي هروبا فشلهم في حل ازمات الواقع NEG
نسال الله ان يحفظ شيخنا كل مكروه ويمن عليه الصحه والعافيه  سلامتك_يا_خليفه  ",1
تسلم لي عيونك احلي  شيرين روحي شيرين محمد العراقي الجريح  ,1
حزب الوسط يتقدم مسيره هاءله محكمه دمياط لتقديم اوراقه للانتخابات البرلمانيهسعيد جدا بثقتكم  ,1
انا كتبت النهارده في المعصره اشهد لك بالفضل انت والشباب اللي معاك في نزولي خمسه وعشرينشكرا ياخالد ياجميل  ,1
الظلم ياتي اشخاص جماعه ليس البلد بالتالي بحب بلدي بحب بلدي  ,2
مهزله اتهام هيثم محمدين بقلب النظم الاجتماعيه للدوله     مصر  ,0
الثوره المصريه وحدت المصريين في نسيج واحد تكاتف المصريون جميعا لاسقاط النظام وحموا بعضهم بعض في ظل غياب امني كامل  ,1
شوف حجم التهليل والتكبير التهليل والتكبير لقتل رجل لم يصوب لك سلاحا  ,0
حول لقاءي بالرءيس المضحك في الموضوع ان عمري ماتخيلت اني اخش الاتحاديه غيرانني اقف عالسوراتظاهر  مصر  السعوديه  ,2
لما يبقي اللي بينقلوا الاخبار للناس بالعقليه دي ازاي ممكن تثق في شبكه رصد دي وتسلمها عقلك قدره مدهشه علي خداع النفس  ,0
الانقلاب يريد قمع 50 مليون مصري لو حاولت امريكا بجبروتها قمعهم ما نجحت شعب مصر العظيم سينتصر ويدفع العالم لاحترامه  ,1
صاحب السمو تحول  الناءب_العام خاءن عام وامن الدوله لمصنع للكذب فلا نتكلم عن دوله مءسسات بل شله عصابات والمستندات موجوده سموك  ,0
التطبيع احدي المحرمات الوطنيه اتفقت عليها كل القوي الوطنيه لا يجوز لاي حزب او جماعه اجازته مبررات او ذراءع  ,0
ايها الغيورون علي القانون سمعتم عن تهريب المتهمين الامريكان و14 مدني في السجن الحربي واعلان دستوري باطل يمنح الحك  ,0
الاعلان الدستوري اعتداء غير مسبوق علي استقلال القضاء واحكامه  ,0
